created_at,default_profile,default_profile_image,favourites_count,followers_count,friends_count,geo_enabled,statuses_count,verified,average_tweets_per_day,popularity,favourites_rate,follower_rate,friend_rate,bot_or_not
18,0,0,27397,212322,283,1,47053,1,11.243,69.29,2.021,3.946,0.065,0
22,0,0,8,18784592,1,0,4590,1,1.129,11.609,0.002,8.438,0.0,0
16,1,0,36499,698985,1679,1,39901,1,10.234,99.942,2.338,5.194,0.358,0
22,0,0,3415,24165,227,1,3259,0,1.159,54.797,0.795,2.261,0.078,0
10,1,0,2279,9,24,0,3182,0,2.211,7.412,0.949,0.006,0.017,1
15,1,0,12050,293,658,0,14147,0,11.035,36.891,2.342,0.206,0.414,1
15,1,0,933,8,4,0,1154,0,0.314,3.536,0.227,0.002,0.001,1
19,0,0,30918,972,877,1,9460,0,2.821,46.633,2.324,0.254,0.232,0
16,1,0,0,103,91,0,14577,0,3.788,21.001,0.0,0.026,0.023,0
11,1,1,5,1,390,0,812,0,0.39,4.137,0.002,0.0,0.172,0
4,1,0,69,1,0,0,168,0,0.116,0.0,0.047,0.001,0.0,0
18,1,1,0,764,688,0,400220,0,118.373,43.393,0.0,0.204,0.185,1
0,0,0,3911,148,500,0,3129,0,0.912,31.108,0.761,0.042,0.136,0
12,1,0,9226,563,612,1,3191,0,1.29,40.661,1.554,0.205,0.221,0
19,1,0,18598,101,304,0,6175,0,2.129,26.456,2.003,0.034,0.1,1
1,1,0,1301,56,25,0,1826,0,1.38,13.173,0.685,0.041,0.019,0
22,0,0,2152,20434,5009,0,25785,1,5.765,84.553,0.393,1.717,0.751,0
18,1,0,14845,325,242,0,20139,0,17.213,31.788,2.617,0.245,0.188,1
23,1,0,5216,145,1245,0,6341,0,1.961,35.522,0.96,0.044,0.326,0
12,0,0,2841,445,356,1,7242,0,2.564,35.856,0.696,0.146,0.119,0
3,0,0,31439,793,1625,1,23870,0,6.647,49.37,2.278,0.2,0.373,0
19,0,0,6085,38111,1568,0,4667,1,1.105,77.616,0.892,2.305,0.316,0
19,0,0,55535,12538,6283,1,47594,0,13.268,82.53,2.802,1.503,1.012,0
12,1,0,1928,1995,3878,1,161117,0,86.996,62.792,0.713,0.731,1.129,1
3,1,0,13148,318781,316,0,3507,0,1.272,72.978,1.752,4.759,0.108,0
19,0,0,855,929,923,0,727,0,0.305,46.676,0.307,0.329,0.327,1
6,0,0,412,5879835,1,1,16159,1,3.809,10.804,0.093,7.235,0.0,0
9,1,0,32,0,0,0,95,0,0.066,0.0,0.022,0.0,0.0,0
22,0,0,3517,579,344,1,17086,0,4.304,37.183,0.634,0.136,0.083,1
13,1,0,687,57,607,0,200,0,0.106,26.028,0.311,0.03,0.28,1
2,0,0,18006,932,297,1,32884,0,12.86,38.959,2.085,0.311,0.11,0
17,1,0,1103,151,644,1,1615,0,0.392,32.501,0.237,0.036,0.145,1
23,0,0,613,748,238,1,13371,0,3.487,36.247,0.148,0.178,0.06,0
1,0,0,2294,198,353,0,1929,0,2.175,31.068,1.277,0.201,0.335,0
20,1,0,110,1,0,0,199,0,0.138,0.0,0.073,0.001,0.0,0
22,1,0,174,10,0,0,43,0,0.025,0.0,0.095,0.006,0.0,1
16,0,0,1332,12189418,564,1,5992,1,1.458,103.392,0.281,7.995,0.129,0
20,0,0,15523,324,598,0,3018,0,1.027,36.989,1.838,0.105,0.185,0
19,1,0,458,25,0,0,104,0,0.033,0.0,0.137,0.008,0.0,1
7,1,0,2349,35,143,1,3485,0,1.1,17.809,0.555,0.011,0.044,1
0,1,0,2373,25,53,0,3381,0,1.745,12.996,0.8,0.013,0.027,1
18,0,0,162682,1236,1183,1,176121,0,52.652,50.389,3.905,0.314,0.303,0
11,1,0,3076,552914,459,1,26931,1,6.648,81.073,0.565,4.924,0.107,0
21,0,0,145,15,0,1,159,0,0.037,0.0,0.033,0.004,0.0,1
21,1,0,2818,98674,464,0,13820,0,3.569,70.631,0.547,3.277,0.113,0
14,0,0,18025,4347,347,0,82033,0,49.537,49.027,2.475,1.288,0.19,0
14,0,0,2441,708,669,0,29476,0,8.14,42.713,0.515,0.179,0.17,0
2,0,0,2482,98,30,0,1003,0,0.527,15.78,0.835,0.05,0.016,0
5,0,0,1290,1250,674,1,5575,0,2.362,46.461,0.436,0.425,0.251,1
0,0,0,3274,32,161,0,209,0,0.052,17.789,0.599,0.008,0.04,0
22,1,0,781,8,97,0,1029,0,0.241,10.074,0.168,0.002,0.022,1
9,0,0,344286,1662199,924,1,75456,1,14.649,97.828,4.217,5.78,0.165,0
19,1,0,12710,82,207,0,3468,0,2.655,23.586,2.373,0.061,0.147,0
2,0,0,338,1179,91,1,1413,0,0.414,31.984,0.095,0.297,0.026,0
18,1,0,2084,31,16,0,2842,0,1.106,9.819,0.594,0.012,0.006,1
16,1,0,537,22,0,0,33,0,0.01,0.0,0.15,0.007,0.0,1
10,0,0,19688,11642,1703,0,20391,1,4.872,69.664,1.741,1.33,0.341,0
18,0,0,1286,20,262,0,1690,0,0.415,16.965,0.274,0.005,0.062,1
19,0,0,673,23,0,0,863,0,0.354,0.0,0.244,0.009,0.0,1
17,1,0,417,2,0,0,684,0,0.204,0.0,0.117,0.001,0.0,0
20,0,0,6847,1893626,469,1,22817,1,5.46,88.932,0.97,6.118,0.106,0
16,0,0,17915,361,271,1,16906,0,5.221,33.027,1.877,0.106,0.08,0
6,0,0,2429,102,0,1,4783,0,1.398,0.0,0.536,0.029,0.0,1
22,0,0,13673,1694,39,1,7432,1,1.862,27.428,1.487,0.354,0.01,0
23,0,0,2537,915145,425,1,13440,1,3.945,83.108,0.557,5.597,0.118,0
17,0,0,1670,1083,1466,0,34547,0,9.623,50.952,0.382,0.264,0.342,0
22,1,0,15981,311,634,1,4675,0,2.176,37.063,2.133,0.135,0.259,0
15,0,0,809,2552943,475,1,65712,1,17.238,90.957,0.192,6.508,0.117,0
8,0,0,16341,569009,493104,1,230952,1,64.838,173.709,1.721,5.08,4.938,0
23,1,0,2518,33,252,0,3583,0,0.867,19.513,0.476,0.008,0.059,1
4,0,0,8511,292,725,0,8386,0,1.964,37.418,1.097,0.066,0.157,0
2,0,0,12672,1730,273,0,4087,0,1.756,41.854,1.863,0.556,0.111,0
23,0,0,542,941345,221,0,1559,1,0.365,74.314,0.119,5.399,0.05,0
14,0,0,2044,4,0,0,3024,0,0.847,0.0,0.453,0.001,0.0,1
16,1,0,178,9,0,0,49,0,0.014,0.0,0.05,0.003,0.0,1
21,1,0,79,425082,51,0,2435,1,0.586,51.208,0.019,4.637,0.012,0
21,1,0,2489,1012,1272,1,5166,0,2.842,49.477,0.863,0.443,0.53,0
22,0,0,6168,359,486,1,16813,0,5.462,36.425,1.1,0.11,0.147,0
20,0,0,2393,19,150,0,3267,0,1.238,15.03,0.645,0.007,0.055,1
0,0,0,44687,1798090,0,0,1352,1,0.32,0.0,2.448,6.054,0.0,1
11,1,0,72,0,0,0,162,0,0.112,0.0,0.049,0.0,0.0,0
16,0,0,1283,57,0,1,2326,0,0.782,0.0,0.359,0.019,0.0,0
1,1,0,2176,141,404,1,2806,0,1.094,29.754,0.614,0.053,0.146,0
22,1,0,11,41,0,0,231,0,0.058,0.0,0.003,0.01,0.0,0
20,0,0,1683,912,776,1,17334,0,7.684,45.368,0.557,0.34,0.296,0
17,0,0,249,1004,396,0,679,0,0.221,41.365,0.078,0.282,0.121,0
8,0,0,45,2261954,144,1,45257,0,11.484,72.818,0.011,6.354,0.036,0
7,1,0,3368,2883,524,1,1026,0,1.131,49.9,1.55,1.43,0.456,0
4,0,0,36,46,41,0,616,0,0.191,14.391,0.011,0.014,0.013,0
0,0,0,7733,1085552,1476,0,67360,1,15.992,101.421,1.042,5.556,0.3,0
0,0,0,9,1205196,0,0,7103,1,1.728,0.0,0.002,5.684,0.0,0
2,1,0,59,1395,1264,0,1456,0,1.001,51.724,0.04,0.673,0.626,0
6,0,0,19282,6120,3868,1,80294,0,19.999,72.029,1.758,0.926,0.675,0
0,1,0,2708,9,14,0,3259,0,2.104,6.236,1.011,0.006,0.009,1
3,0,0,945,402,146,1,10837,0,3.054,29.937,0.236,0.107,0.04,0
4,1,0,541,1205858,447,0,11223,1,3.517,85.484,0.157,5.937,0.131,0
17,0,0,5390,3135,1367,1,5224,1,1.359,58.135,0.877,0.597,0.304,0
21,1,0,2213,5,16,0,2205,0,0.561,5.076,0.447,0.001,0.004,1
